record_type,hand_number,step_index,player_id,action,amount,street,button_seat,sb_seat,bb_seat,sb_amount,bb_amount,data_json
meta,,,,,,,,,,,,"{""rotation_help"": ""Button moves clockwise each hand; SB is next clockwise from BTN, BB next after SB (heads-up rules differ). Seats fill in join order."", ""seat_order_join"": [""gpt_5_4"", ""claude_4_6_opus"", ""gemini_3_1"", ""deepseek_v3_2"", ""mistral_large_3"", ""grok_ai""], ""sb_amount"": 2, ""bb_amount"": 5, ""buy_in_chips"": 1000, ""table_id"": ""llm_bots""}"
hand_start,1,,,,,,3,4,5,2,5,"{""stacks_before_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1000}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 1000}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 1000}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 1000}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 1000}}, ""stacks_after_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1000}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 1000}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 998}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 995}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 1000}}, ""pot"": 7}"
action,1,1,grok_ai,fold,,preflop,3,4,5,2,5,
action,1,2,gpt_5_4,fold,,preflop,3,4,5,2,5,
action,1,3,claude_4_6_opus,raise,15,preflop,3,4,5,2,5,
action,1,4,gemini_3_1,fold,,preflop,3,4,5,2,5,
action,1,5,deepseek_v3_2,fold,,preflop,3,4,5,2,5,
action,1,6,mistral_large_3,fold,,none,,,,2,5,
hand_end,1,,,,,,,,,,,"{""winners"": [{""seat"": 2, ""player_id"": ""claude_4_6_opus"", ""amount"": 22, ""hand_name"": ""fold""}], ""last_pot"": 0}"
hand_start,2,,,,,,4,5,6,2,5,"{""stacks_before_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1007}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 1000}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 998}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 995}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 1000}}, ""stacks_after_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1007}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 1000}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 998}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 993}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 995}}, ""pot"": 7}"
action,2,1,gpt_5_4,fold,,preflop,4,5,6,2,5,
action,2,2,claude_4_6_opus,call,,preflop,4,5,6,2,5,
action,2,3,gemini_3_1,fold,,preflop,4,5,6,2,5,
action,2,4,deepseek_v3_2,raise,20,preflop,4,5,6,2,5,
action,2,5,mistral_large_3,call,,preflop,4,5,6,2,5,
action,2,6,grok_ai,fold,,preflop,4,5,6,2,5,
action,2,7,claude_4_6_opus,call,,flop,4,5,6,2,5,
action,2,8,mistral_large_3,bet,30,flop,4,5,6,2,5,
action,2,9,claude_4_6_opus,fold,,flop,4,5,6,2,5,
action,2,10,deepseek_v3_2,fold,,none,,,,2,5,
hand_end,2,,,,,,,,,,,"{""winners"": [{""seat"": 5, ""player_id"": ""mistral_large_3"", ""amount"": 95, ""hand_name"": ""fold""}], ""last_pot"": 0}"
