record_type,hand_number,step_index,player_id,action,amount,street,button_seat,sb_seat,bb_seat,sb_amount,bb_amount,data_json
meta,,,,,,,,,,,,"{""rotation_help"": ""Button moves clockwise each hand; SB is next clockwise from BTN, BB next after SB (heads-up rules differ). Seats fill in join order."", ""seat_order_join"": [""gpt_5_4"", ""claude_4_6_opus"", ""gemini_3_1"", ""deepseek_v3_2"", ""mistral_large_3"", ""grok_ai""], ""sb_amount"": 2, ""bb_amount"": 5, ""buy_in_chips"": 1000, ""table_id"": ""llm_bots""}"
hand_start,1,,,,,,2,3,4,2,5,"{""stacks_before_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1000}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 1000}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 1000}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 1000}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 1000}}, ""stacks_after_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1000}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 998}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 995}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 1000}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 1000}}, ""pot"": 7}"
action,1,1,mistral_large_3,raise,12,preflop,2,3,4,2,5,
action,1,2,grok_ai,raise,30,preflop,2,3,4,2,5,
action,1,3,gpt_5_4,fold,,preflop,2,3,4,2,5,
action,1,4,claude_4_6_opus,fold,,preflop,2,3,4,2,5,
action,1,5,gemini_3_1,fold,,preflop,2,3,4,2,5,
action,1,6,deepseek_v3_2,fold,,preflop,2,3,4,2,5,
action,1,7,mistral_large_3,call,,flop,2,3,4,2,5,
action,1,8,mistral_large_3,bet,40,flop,2,3,4,2,5,
action,1,9,grok_ai,raise,80,flop,2,3,4,2,5,
action,1,10,mistral_large_3,call,,turn,2,3,4,2,5,
action,1,11,mistral_large_3,bet,120,turn,2,3,4,2,5,
action,1,12,grok_ai,raise,240,turn,2,3,4,2,5,
action,1,13,mistral_large_3,fold,,none,,,,2,5,
hand_end,1,,,,,,,,,,,"{""winners"": [{""seat"": 6, ""player_id"": ""grok_ai"", ""amount"": 587, ""hand_name"": ""fold""}], ""last_pot"": 0}"
