record_type,hand_number,step_index,player_id,action,amount,street,button_seat,sb_seat,bb_seat,sb_amount,bb_amount,data_json
meta,,,,,,,,,,,,"{""rotation_help"": ""Button moves clockwise each hand; SB is next clockwise from BTN, BB next after SB (heads-up rules differ). Seats fill in join order."", ""seat_order_join"": [""gpt_5_4"", ""claude_4_6_opus"", ""gemini_3_1"", ""deepseek_v3_2"", ""mistral_large_3"", ""grok_ai""], ""sb_amount"": 2, ""bb_amount"": 5, ""buy_in_chips"": 1000, ""table_id"": ""llm_bots"", ""csv_notes"": ""hand_start.data_json includes hole_cards_by_player (rank+suit letter, e.g. 4C,TH) and community_cards when known. Rows with record_type=board log each new community reveal (flop/turn/river) as cards appear.""}"
hand_start,1,,,,,,4,5,6,2,5,"{""stacks_before_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1000}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 1000}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 1000}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 1000}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 1000}}, ""stacks_after_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1000}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 1000}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 1000}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 998}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 995}}, ""pot"": 7, ""hole_cards_by_player"": {""claude_4_6_opus"": [""2D"", ""10C""], ""gpt_5_4"": [""8D"", ""10H""], ""deepseek_v3_2"": [""JD"", ""2C""], ""gemini_3_1"": [""6C"", ""6H""], ""grok_ai"": [""AH"", ""AC""], ""mistral_large_3"": [""4D"", ""8C""]}, ""community_cards"": []}"
action,1,1,gpt_5_4,fold,,preflop,4,5,6,2,5,
action,1,2,claude_4_6_opus,fold,,preflop,4,5,6,2,5,
action,1,3,gemini_3_1,raise,15,preflop,4,5,6,2,5,
action,1,4,deepseek_v3_2,fold,,preflop,4,5,6,2,5,
action,1,5,mistral_large_3,fold,,preflop,4,5,6,2,5,
action,1,6,grok_ai,raise,45,preflop,4,5,6,2,5,
action,1,7,gemini_3_1,call,,flop,4,5,6,2,5,
board,1,7,,,,flop,4,5,6,2,5,"{""community_cards"": [""8S"", ""KC"", ""JC""], ""street"": ""flop""}"
action,1,8,grok_ai,bet,60,flop,4,5,6,2,5,
action,1,9,gemini_3_1,fold,,none,,,,2,5,
board,1,9,,,,none,,,,2,5,"{""community_cards"": [], ""street"": ""none""}"
hand_end,1,,,,,,,,,,,"{""winners"": [{""hand_name"": ""fold"", ""player_id"": ""grok_ai"", ""seat"": 6, ""amount"": 152}], ""last_pot"": 0}"
hand_start,2,,,,,,5,6,1,2,5,"{""stacks_before_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 1000}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1000}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 955}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 1000}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 998}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 1047}}, ""stacks_after_blinds"": {""seat_1"": {""player_id"": ""gpt_5_4"", ""stack"": 995}, ""seat_2"": {""player_id"": ""claude_4_6_opus"", ""stack"": 1000}, ""seat_3"": {""player_id"": ""gemini_3_1"", ""stack"": 955}, ""seat_4"": {""player_id"": ""deepseek_v3_2"", ""stack"": 1000}, ""seat_5"": {""player_id"": ""mistral_large_3"", ""stack"": 998}, ""seat_6"": {""player_id"": ""grok_ai"", ""stack"": 1045}}, ""pot"": 7, ""hole_cards_by_player"": {""claude_4_6_opus"": [""4H"", ""KC""], ""gpt_5_4"": [""QC"", ""JD""], ""deepseek_v3_2"": [""JH"", ""6H""], ""gemini_3_1"": [""7D"", ""2H""], ""grok_ai"": [""8D"", ""AD""], ""mistral_large_3"": [""8H"", ""9S""]}, ""community_cards"": []}"
action,2,1,claude_4_6_opus,fold,,preflop,5,6,1,2,5,
action,2,2,gemini_3_1,fold,,preflop,5,6,1,2,5,
action,2,3,deepseek_v3_2,fold,,preflop,5,6,1,2,5,
action,2,4,mistral_large_3,raise,15,preflop,5,6,1,2,5,
action,2,5,grok_ai,raise,40,preflop,5,6,1,2,5,
action,2,6,gpt_5_4,call,,preflop,5,6,1,2,5,
action,2,7,mistral_large_3,call,,flop,5,6,1,2,5,
board,2,7,,,,flop,5,6,1,2,5,"{""community_cards"": [""AC"", ""3S"", ""10C""], ""street"": ""flop""}"
action,2,8,grok_ai,bet,80,flop,5,6,1,2,5,
action,2,9,gpt_5_4,call,,flop,5,6,1,2,5,
